Severity	Code	Description	File	Project	Line	Suppression State
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\AccountStatus\Queries\GetAccountStatusByStatus\GetAccountStatusByStatusQueryHandler.cs	VibeCRM.Application	58	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\AccountType\Queries\GetAccountTypeById\GetAccountTypeByIdQueryHandler.cs	VibeCRM.Application	52	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\ActivityDefinition\Queries\GetActivityDefinitionById\GetActivityDefinitionByIdQueryHandler.cs	VibeCRM.Application	57	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\ActivityStatus\Queries\GetActivityStatusById\GetActivityStatusByIdQueryHandler.cs	VibeCRM.Application	52	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\ActivityStatus\Queries\GetDefaultActivityStatus\GetDefaultActivityStatusQueryHandler.cs	VibeCRM.Application	52	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\ActivityType\Queries\GetActivityTypeById\GetActivityTypeByIdQueryHandler.cs	VibeCRM.Application	52	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\ActivityType\Queries\GetActivityTypeByOrdinalPosition\GetActivityTypeByOrdinalPositionQueryHandler.cs	VibeCRM.Application	56	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\ActivityType\Queries\GetActivityTypeByType\GetActivityTypeByTypeQueryHandler.cs	VibeCRM.Application	52	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\ActivityType\Queries\GetDefaultActivityType\GetDefaultActivityTypeQueryHandler.cs	VibeCRM.Application	52	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\ActivityType\Queries\GetDefaultActivityType\GetDefaultActivityTypeQueryHandler.cs	VibeCRM.Application	60	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\Activity\Commands\UpdateActivity\UpdateActivityCommandHandler.cs	VibeCRM.Application	56	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\AddressType\Queries\GetAddressTypeById\GetAddressTypeByIdQueryHandler.cs	VibeCRM.Application	52	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\AddressType\Queries\GetAddressTypeByOrdinalPosition\GetAddressTypeByOrdinalPositionQueryHandler.cs	VibeCRM.Application	56	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\AddressType\Queries\GetAddressTypeByType\GetAddressTypeByTypeQueryHandler.cs	VibeCRM.Application	54	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\AddressType\Queries\GetDefaultAddressType\GetDefaultAddressTypeQueryHandler.cs	VibeCRM.Application	52	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\AttachmentType\Queries\GetAttachmentTypeById\GetAttachmentTypeByIdQueryHandler.cs	VibeCRM.Application	56	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\AttachmentType\Queries\GetAttachmentTypeByType\GetAttachmentTypeByTypeQueryHandler.cs	VibeCRM.Application	58	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\AttachmentType\Queries\GetDefaultAttachmentType\GetDefaultAttachmentTypeQueryHandler.cs	VibeCRM.Application	56	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\CallDirection\Queries\GetCallDirectionByDirection\GetCallDirectionByDirectionQueryHandler.cs	VibeCRM.Application	58	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\CallDirection\Queries\GetCallDirectionById\GetCallDirectionByIdQueryHandler.cs	VibeCRM.Application	56	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\CallDirection\Queries\GetDefaultCallDirection\GetDefaultCallDirectionQueryHandler.cs	VibeCRM.Application	56	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\CallType\Queries\GetCallTypeById\GetCallTypeByIdQueryHandler.cs	VibeCRM.Application	60	
Warning (resolved)	CS8603	Possible null reference return.	C:\Users\Don\source\repos\VibeCRM\VibeCRM.Application\Features\CallType\Queries\GetDefaultCallType\GetDefaultCallTypeQueryHandler.cs	VibeCRM.Application	60	
